College Code,College name,Branch Code,Branch Name,Community,Cutoff marks
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,Civil Engineering,OC,178
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,Civil Engineering,BC,173.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,Civil Engineering,BCM,165
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,Civil Engineering,MBC,166
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,Civil Engineering,SC,148
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,Civil Engineering,SCA,138
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,Civil Engineering,ST,123.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,Computer Science and Engineering,OC,190
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,Computer Science and Engineering,BC,188.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,Computer Science and Engineering,BCM,185.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,Computer Science and Engineering,MBC,185.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,Computer Science and Engineering,SC,174
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,Computer Science and Engineering,SCA,179
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,Computer Science and Engineering,ST,0
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,Electronics and Communication Engineering,OC,189
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,Electronics and Communication Engineering,BC,187.25
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,Electronics and Communication Engineering,BCM,183.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,Electronics and Communication Engineering,MBC,184
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,Electronics and Communication Engineering,SC,173.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,Electronics and Communication Engineering,SCA,168.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,Electronics and Communication Engineering,ST,0
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,Electrical and Electronics Engineering,OC,186.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,Electrical and Electronics Engineering,BC,185.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,Electrical and Electronics Engineering,BCM,181.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,Electrical and Electronics Engineering,MBC,181.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,Electrical and Electronics Engineering,SC,168.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,Electrical and Electronics Engineering,SCA,168.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,Electrical and Electronics Engineering,ST,143
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,Electronics and Instrumentation Engineering,OC,182
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,Electronics and Instrumentation Engineering,BC,180.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,Electronics and Instrumentation Engineering,BCM,178
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,Electronics and Instrumentation Engineering,MBC,174.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,Electronics and Instrumentation Engineering,SC,151
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,Electronics and Instrumentation Engineering,SCA,155
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,Electronics and Instrumentation Engineering,ST,113.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,Industrial Bio-Technology,OC,177
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,Industrial Bio-Technology,BC,169.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,Industrial Bio-Technology,BCM,153.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,Industrial Bio-Technology,MBC,155.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,Industrial Bio-Technology,SC,135.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,Industrial Bio-Technology,SCA,152
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,Industrial Bio-Technology,ST,0
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,Information Technology,OC,187
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,Information Technology,BC,186
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,Information Technology,BCM,180.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,Information Technology,MBC,182
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,Information Technology,SC,165.5
